merchant,cc_num,trans_date_trans_time,amt_cop,is_fraud,trans_counter,total_amt,fraud_counter,fraud_amt,dist_card
fraud_Schumm PLC,30270432095985,2020-12-13 21:00:41,2505.112218,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,5559857416065248,2020-07-02 12:41:16,96068.98020660001,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3577578023716568,2020-10-20 15:18:38,11809.814741999999,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4561892980175,2020-08-10 22:38:07,9853.86198006,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4836998673805450,2020-10-03 15:34:35,18107.509743000002,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3568255211412877,2020-09-11 22:49:30,31092.762488460005,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6592243974328236,2020-09-01 16:56:29,31475.382084,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6011367958204270,2020-11-11 17:33:29,181696.281605,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6011366578560244,2020-07-04 23:12:13,12156.7771485,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,38580485618059,2020-12-18 12:03:59,429923.46979998,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4377338765909719,2020-12-20 23:59:11,213332.8106374,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3533012926413100,2020-06-25 18:08:18,6882.062335279999,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,36722699017270,2020-12-13 20:20:16,2074.49725896,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4424338559877976,2020-12-21 13:49:48,1470.771459,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,343746486082492,2020-07-26 15:35:24,37724.264408999996,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4149238353975790,2020-12-23 15:52:20,16455.6195435,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,30266994494236,2020-09-19 16:52:14,1405.3068540000002,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,30026790933302,2020-12-04 23:06:05,61979.721677420006,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3590736522064285,2020-08-11 13:28:57,11442.6634522,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3511378610369890,2020-06-23 17:15:27,245097.59586858,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3598215285024754,2020-08-31 23:10:05,2097.0495135,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,213126662687660,2020-11-04 18:28:15,22901.79116836,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,375082648741747,2020-09-25 18:35:16,272946.148371,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,2296006538441789,2020-06-28 22:59:39,3659.4714195,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,213113028819344,2020-06-29 14:22:34,15048.727323520001,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3523898249167098,2020-10-19 14:44:48,30903.657867,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6011148190095209,2020-08-08 21:41:23,490152.43967090006,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,30407675418785,2020-08-30 13:49:40,6404.6205225,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,213148039875802,2020-09-07 22:31:34,17830.79786868,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,30175986190993,2020-07-19 16:59:22,36969.77912082,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,630424987505,2020-07-20 16:24:16,621.9137475,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3514897282719543,2020-12-09 15:23:16,395305.90951877995,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4981132848794,2020-11-17 14:24:50,268140.95958272,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3567697931646329,2020-10-25 23:22:26,20744.9725896,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,2233882705243596,2020-07-03 13:44:09,11994.21629486,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,38199021865320,2020-12-07 22:35:52,16462.166004,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,675990301623,2020-11-05 15:50:31,124725.03162898,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3520550088202337,2020-08-12 17:39:00,37878.33070636,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4992346398065154184,2020-07-02 12:10:47,230206.77586998,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4147608975828480,2020-10-06 15:50:26,1901.6224873800002,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6547670341037171,2020-07-01 15:54:57,193325.75972424,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6547670341037171,2020-12-07 23:48:03,3574.367433,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3589255887819806,2020-12-22 15:30:44,711.382041,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3523843138706408,2020-09-17 16:40:40,28943.14885802,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4063094974360571498,2020-06-26 14:38:02,6284.55374022,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,345389171551808,2020-09-07 23:55:01,451034.29904300004,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,375534208663984,2020-08-10 12:52:17,16156.664514000002,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4536996888716062123,2020-12-01 14:18:32,594356.8811356799,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,2266735643685262,2020-08-31 22:06:17,143751.63814206,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,30364087349027,2020-10-08 15:02:15,15443.479594480003,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,377993105397617,2020-12-20 14:49:15,73941.00944436,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3561212938177173,2020-08-29 19:25:41,19240.0474095,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4302475216404898,2020-12-11 14:30:19,42872.51696364,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,676309913934,2020-12-22 19:38:25,54933.01670254001,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4788103653396,2020-06-24 12:12:32,90290.02355664001,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,30263540414123,2020-12-07 14:34:10,5171.703794999999,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4070511711385545,2020-11-15 18:39:23,12134.16253852,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,5388659976630693,2020-11-29 12:29:21,107626.89350652,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6528911529051375,2020-09-02 22:24:00,244808.28527064,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4452366298769043,2020-09-07 18:25:10,6967.6161255,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,2356276337669917,2020-12-07 14:30:40,22812.084595559998,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6011552879910390,2020-11-30 12:45:06,312261.09196304006,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3534718226968689,2020-10-08 16:57:01,4394.857149,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4128730454058057622,2020-07-13 16:58:52,539013.1661733,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6564459919350820,2020-10-27 21:34:36,64854.88451642,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,60490596305,2020-10-14 17:54:22,541839.68777924,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Flatley Group,342952484382519,2020-09-21 22:29:11,5128.61822354,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4671727014157745,2020-07-01 10:16:32,2153.7855044999997,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,213112402583773,2020-07-20 12:39:58,399.3340905,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3595192916105588,2020-12-15 15:55:29,1217.6416530000001,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4116554952971686,2020-08-08 01:00:40,261.85841999999997,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3560797065840735,2020-08-31 16:52:55,689.560506,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4060579726528237,2020-08-15 10:39:02,1027032.88776398,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,6011724471098086,2020-09-20 00:38:34,10331.3256349,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,6011724471098086,2020-07-28 00:23:58,69101.97609978,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4155021259183870,2020-12-09 19:32:28,721312.86193872,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4302480582202074,2020-11-16 12:54:35,20640.9899565,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3501365119557234,2020-12-10 03:48:03,759.389418,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4658117080136,2020-12-02 13:33:44,306318.55475290003,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,343668971234893,2020-08-16 09:53:19,434.2485465,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4873783502705038,2020-08-23 07:08:45,15682.211421900001,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4862293128558,2020-07-28 08:23:49,611.00298,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,6592243974328236,2020-12-31 22:47:15,945325.6846019999,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4810789809665942990,2020-09-01 17:09:02,41319.16489974,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,30029052116970,2020-06-27 16:16:16,10559.760366220002,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4610050989831291,2020-12-12 00:16:30,9025.386876,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4301028321766222513,2020-12-19 01:26:45,7709.548315499999,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4906628655840914250,2020-12-28 17:20:24,5686.024812580001,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4149238353975790,2020-12-12 10:49:54,24976.28842732,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3561963695236764,2020-12-14 11:03:56,7484.786504999999,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3561963695236764,2020-12-14 11:03:56,7484.786504999999,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3521417320836166,2020-10-27 09:26:11,246337.40579011998,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3533742182628021,2020-10-27 14:25:33,195941.20538796,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,213157767990030,2020-07-07 08:30:39,182423.06673142003,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3531129874770000,2020-12-28 10:54:00,1060761.9336935398,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,2285066385084291,2020-07-06 16:18:31,366058.50922992,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3566094707272327,2020-10-30 11:28:36,171889.50124241997,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,30033162392091,2020-07-18 02:06:20,26515.697107580003,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,60422928733,2020-12-08 11:55:51,63058.130966799996,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4449530933957323,2020-11-30 06:20:58,1473465.3863279999,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4294040533480516,2020-10-12 20:35:26,14706.710793440001,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,676248282243,2020-07-23 06:15:03,8521.245607679999,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4653879239169997,2020-12-19 17:13:42,2527.26451786,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4642894980163,2020-10-09 17:35:23,5258.50414998,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3525590521269779,2020-07-07 18:41:18,3803.2449747600003,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,675990301623,2020-11-26 14:27:26,38584.00259026,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4423489490781412,2020-10-12 01:56:32,1427.128389,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,6517217825320610,2020-11-27 02:39:04,32106.80176126,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4601636330889,2020-10-06 14:24:49,7373318.4324579,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,374238209524200,2020-07-30 02:43:19,5414.541479879999,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4260128500325,2020-08-09 19:41:49,353720.4556938,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,6011679934075347,2020-11-18 12:27:13,32842.3007796,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3523843138706408,2020-07-06 22:25:11,29957.5040895,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,376028110684021,2020-08-19 01:47:21,21321.2218282,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4610064888664703,2020-11-30 17:08:39,245951.40716646,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4633065159406313,2020-12-09 14:56:59,39499.5239106,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,30234966027947,2020-08-30 13:29:30,21418.78519626,1,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,676309913934,2020-12-29 18:27:10,3967.8876143600005,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,2256234701263057,2020-07-21 03:31:43,7278.5639565599995,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,343464013864032,2020-06-25 08:32:45,294693.07726560003,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4220495028289516646,2020-12-17 03:21:41,17271.83476904,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,4066595222529,2020-10-18 07:40:21,26549.033147460003,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,371985236239474,2020-12-25 06:18:11,1649.708046,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,565399283797,2020-08-01 09:09:38,24523.52116842,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,3565414434959494,2020-12-01 07:34:17,268.4048805,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Flatley Group,60427851591,2020-11-09 02:46:23,9012.293955,0,60,15643691.91488722,27,2185684.1364555596,58
fraud_Towne LLC,342952484382519,2020-11-29 22:41:01,14200.427665500001,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,36485887555770,2020-12-20 20:57:29,272475.33640602004,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,36485887555770,2020-06-22 17:10:30,30207.550900500002,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4512828414983801773,2020-12-12 23:13:08,120229.44974586,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4265776278887457,2020-12-11 03:49:55,1005.9727635,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,30197398657930,2020-09-26 11:07:03,7211.34761448,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,30197398657930,2020-07-10 11:03:20,299007.95142244,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,30270432095985,2020-09-28 14:45:01,40272.44641692,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,340953839692349,2020-11-15 15:55:04,25351.97529218,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,5559857416065248,2020-12-14 06:16:10,7997.5925775,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,344709867813900,2020-10-12 04:39:36,3386.702232,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4683520018489354,2020-11-22 23:16:16,2361.090087,0,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4302480582202074,2020-07-10 16:50:14,12959.8096365,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4939976756738216,2020-12-12 10:21:37,45486.9897075,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,38588538868506,2020-07-15 16:52:40,981.969075,0,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,3576021480694169,2020-07-12 12:01:58,6406.802676,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,6011975266774121,2020-07-07 00:49:58,103930.27307806,0,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4613314721966,2020-11-22 09:50:24,35398.167514,0,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,3527536963490470,2020-07-23 17:32:55,404280.0015378,0,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4646845581490336108,2020-12-28 08:15:45,229097.23868147997,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,371034293500716,2020-12-26 00:57:30,6132.938325100001,0,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4900628639996,2020-11-13 16:07:27,13625.116674779998,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,4900628639996,2020-12-03 17:08:31,1131561.6897696801,1,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,676195318214,2020-12-02 16:14:25,37878.33070636,0,68,11239275.64538994,37,4964270.8584077405,60
fraud_Towne LLC,581293083266,2020-09-15 08:14:54,29108.81868128,0,68,11239275.64538994,37,4964270.8584077405,60
